"";"Var1";"Var2";"res"
"1";0,1;0;0,411925309823763
"2";0,2;0;0,445763177617595
"3";0,3;0;0,496978149185364
"4";0,4;0;0,560698382468754
"5";0,5;0;0,63296811847539
"6";0,6;0;0,710910350957084
"7";0,7;0;0,792445935330879
"8";0,8;0;0,875922314932502
"9";0,9;0;0,959658911691593
"10";0,1;0,1;0,404341135744478
"11";0,2;0,1;0,430102913761248
"12";0,3;0,1;0,475494822554353
"13";0,4;0,1;0,535516416363006
"14";0,5;0,1;0,605761089848788
"15";0,6;0,1;0,68296305437523
"16";0,7;0,1;0,764838343163641
"17";0,8;0,1;0,849749016729319
"18";0,9;0,1;0,936358339711578
"19";0,1;0,2;0,400475547855898
"20";0,2;0,2;0,417661076032048
"21";0,3;0,2;0,456980011242231
"22";0,4;0,2;0,513429432811817
"23";0,5;0,2;0,582071022699251
"24";0,6;0,2;0,659106320242306
"25";0,7;0,2;0,741904456301995
"26";0,8;0,2;0,828693628909825
"27";0,9;0,2;0,918252370255776
"28";0,1;0,3;NA
"29";0,2;0,3;0,408301123277298
"30";0,3;0,3;0,440986383938555
"31";0,4;0,3;0,493854951964006
"32";0,5;0,3;0,561345003099238
"33";0,6;0,3;0,638932653931502
"34";0,7;0,3;0,723466414329243
"35";0,8;0,3;0,812883261129774
"36";0,9;0,3;0,905871655919137
"37";0,1;0,4;NA
"38";0,2;0,4;0,402199396316151
"39";0,3;0,4;0,427252085526489
"40";0,4;0,4;0,476352351116369
"41";0,5;0,4;0,543219680448206
"42";0,6;0,4;0,622321410008562
"43";0,7;0,4;0,70973470043649
"44";0,8;0,4;0,80290417087199
"45";0,9;0,4;0,900192395418537
"46";0,1;0,5;NA
"47";0,2;0,5;NA
"48";0,3;0,5;0,415714415260095
"49";0,4;0,5;0,460581599133627
"50";0,5;0,5;0,527523404088289
"51";0,6;0,5;0,609538676389271
"52";0,7;0,5;0,701527620318187
"53";0,8;0,5;NA
"54";0,9;0,5;NA
"55";0,1;0,6;NA
"56";0,2;0,6;NA
"57";0,3;0,6;0,406614672639189
"58";0,4;0,6;0,446275766040486
"59";0,5;0,6;0,514353863152313
"60";0,6;0,6;0,601546701064553
"61";0,7;0,6;NA
"62";0,8;0,6;NA
"63";0,9;0,6;NA
"64";0,1;0,7;NA
"65";0,2;0,7;NA
"66";0,3;0,7;0,400863822895819
"67";0,4;0,7;0,433221756563019
"68";0,5;0,7;0,504379682116138
"69";0,6;0,7;NA
"70";0,7;0,7;NA
"71";0,8;0,7;NA
"72";0,9;0,7;NA
"73";0,1;0,8;NA
"74";0,2;0,8;NA
"75";0,3;0,8;NA
"76";0,4;0,8;0,421248765057606
"77";0,5;0,8;NA
"78";0,6;0,8;NA
"79";0,7;0,8;NA
"80";0,8;0,8;NA
"81";0,9;0,8;NA
"82";0,1;0,9;NA
"83";0,2;0,9;NA
"84";0,3;0,9;NA
"85";0,4;0,9;0,410212434832185
"86";0,5;0,9;NA
"87";0,6;0,9;NA
"88";0,7;0,9;NA
"89";0,8;0,9;NA
"90";0,9;0,9;NA
